,Quarter,Tm,Detail,SEA,OAK
0,1.0,Seahawks,Steve Raible 38 yard pass from Jim Zorn (Efren Herrera kick),7,0
1,2.0,Raiders,Mark van Eeghen 4 yard rush (Errol Mann kick),7,7
2,2.0,Raiders,Errol Mann 26 yard field goal,7,10
3,4.0,Seahawks,Steve Largent 27 yard pass from Jim Zorn (Efren Herrera kick),14,10
4,4.0,Raiders,Dave Casper 31 yard pass from Ken Stabler,14,16
5,4.0,Seahawks,Efren Herrera 46 yard field goal,17,16
