,Quarter,Time,Tm,Detail,MIA,JAX
0,1.0,8:15,Dolphins,Preston Williams 3 yard pass from Ryan Fitzpatrick (Jason Sanders kick),7,0
1,1.0,2:41,Dolphins,Jordan Howard 1 yard rush (Jason Sanders kick),14,0
2,2.0,13:10,Jaguars,James Robinson 11 yard rush (Brandon Wright kick),14,7
3,2.0,6:04,Dolphins,Mike Gesicki 15 yard pass from Ryan Fitzpatrick (Jason Sanders kick),21,7
4,3.0,2:05,Dolphins,Ryan Fitzpatrick 1 yard rush (Jason Sanders kick),28,7
5,4.0,9:07,Jaguars,James Robinson 1 yard rush (Brandon Wright kick failed),28,13
6,4.0,3:54,Dolphins,Jason Sanders 30 yard field goal,31,13
