,Quarter,Tm,Detail,DET,MIN
0,1.0,Vikings,Fred Cox 32 yard field goal,0,3
1,1.0,Lions,Dan Lewis 9 yard rush (Wayne Walker kick),7,3
2,2.0,Lions,Gail Cogdill 1 yard offensive fumble return (Wayne Walker kick),14,3
3,2.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),14,10
4,3.0,Vikings,Paul Flatley 23 yard pass from Fran Tarkenton (Fred Cox kick),14,17
5,3.0,Lions,Wayne Walker 24 yard field goal,17,17
6,4.0,Lions,Gail Cogdill 12 yard pass from Earl Morrall (Wayne Walker kick),24,17
7,4.0,Vikings,Fred Cox 42 yard field goal,24,20
