,Quarter,Tm,Detail,NYG,BOS
0,1.0,Giants,Bo Molenda 10 yard rush (Harry Newman kick),7,0
1,2.0,Redskins,Jim Musick 20 yard rush (Jim Musick kick),7,7
2,2.0,Redskins,Rabbit Weller 50 yard rush (Jim Musick kick),7,14
3,3.0,Redskins,Cliff Battles unknown yard rush (Jim Musick kick),7,21
4,3.0,Giants,Stu Clancy 15 yard rush,13,21
5,4.0,Giants,Harry Newman 80 yard rush (Harry Newman kick),20,21
