,Quarter,Time,Tm,Detail,SFO,SEA
0,1.0,9:55,Seahawks,Tyler Lockett 24 yard pass from Russell Wilson (Stephen Hauschka kick),0,7
1,1.0,3:04,Seahawks,Thomas Rawls 2 yard rush (Stephen Hauschka kick failed),0,13
2,2.0,7:15,Seahawks,Tyler Lockett 11 yard pass from Russell Wilson (Stephen Hauschka kick),0,20
3,2.0,0:09,49ers,Vance McDonald 19 yard pass from Blaine Gabbert (Phil Dawson kick),7,20
4,3.0,9:44,49ers,Phil Dawson 27 yard field goal,10,20
5,3.0,5:01,Seahawks,Stephen Hauschka 33 yard field goal,10,23
6,3.0,0:07,49ers,Phil Dawson 25 yard field goal,13,23
7,4.0,12:32,Seahawks,Thomas Rawls 31 yard pass from Russell Wilson (Stephen Hauschka kick failed),13,29
