,Quarter,Tm,Detail,SDG,SEA
0,1.0,Seahawks,Norm Johnson 26 yard field goal,0,3
1,2.0,Seahawks,Brian Blades 23 yard pass from Kelly Stouffer (Norm Johnson kick),0,10
2,4.0,Chargers,Anthony Miller 11 yard pass from Mark Malone (Vince Abbott kick),7,10
3,4.0,Seahawks,John Williams 6 yard pass from Kelly Stouffer (Norm Johnson kick),7,17
4,4.0,Chargers,Anthony Miller 10 yard pass from Mark Malone (Vince Abbott kick),14,17
