,Quarter,Tm,Detail,MIN,SFO
0,2.0,Vikings,Wade Wilson 2 yard rush (Chuck Nelson kick),7,0
1,2.0,49ers,Mike Cofer 30 yard field goal,7,3
2,3.0,49ers,Roger Craig 1 yard rush (Mike Cofer kick),7,10
3,3.0,Vikings,Anthony Carter 67 yard pass from Wade Wilson (Chuck Nelson kick),14,10
4,3.0,49ers,John Taylor 73 yard pass from Steve Young (Mike Cofer kick),14,17
5,4.0,Vikings,Rick Fenney 12 yard rush (Chuck Nelson kick),21,17
6,4.0,49ers,Steve Young 49 yard rush (Mike Cofer kick),21,24
