,Quarter,Time,Tm,Detail,ARI,CLE
0,2.0,,Browns,Matt Stover 32 yard field goal,0,3
1,3.0,,Browns,Vinny Testaverde 1 yard rush (Matt Stover kick),0,10
2,3.0,,Browns,Tommy Vardell 16 yard pass from Vinny Testaverde (Tom Tupa run),0,18
3,4.0,8:53,Browns,Derrick Alexander 81 yard pass from Vinny Testaverde (Matt Stover kick),0,25
4,4.0,8:53,Browns,Eric Turner 93 yard interception return (Matt Stover kick),0,32
