,Quarter,Tm,Detail,SDG,KAN
0,1.0,Chargers,Quinn Early 38 yard pass from Babe Laufenberg (Vince Abbott kick),7,0
1,1.0,Chargers,Gary Anderson 30 yard rush (Vince Abbott kick),14,0
2,2.0,Chiefs,Paul Palmer 71 yard pass from Steve DeBerg (Nick Lowery kick),14,7
3,2.0,Chiefs,Stephone Paige 2 yard pass from Steve DeBerg (Nick Lowery kick),14,14
4,3.0,Chiefs,Paul Palmer 6 yard pass from Steve DeBerg (Nick Lowery kick),14,21
5,3.0,Chiefs,"Safety, Maas tackled Laufenberg in end zone",14,23
6,4.0,Chargers,Vince Abbott 47 yard field goal,17,23
7,4.0,Chargers,Lionel James 9 yard pass from Babe Laufenberg (Vince Abbott kick),24,23
