,Quarter,Time,Tm,Detail,CHI,TAM
0,2.0,10:28,Buccaneers,Martin Gramatica 23 yard field goal,0,3
1,2.0,2:46,Buccaneers,Martin Gramatica 47 yard field goal,0,6
2,2.0,1:54,Buccaneers,Shaun King 3 yard rush (Martin Gramatica kick),0,13
3,2.0,1:17,Buccaneers,Ronde Barber 24 yard defensive fumble return (Martin Gramatica kick),0,20
4,3.0,8:27,Buccaneers,Keyshawn Johnson 13 yard pass from Shaun King (Martin Gramatica kick),0,27
5,3.0,7:33,Buccaneers,Jacquez Green 58 yard pass from Shaun King (Martin Gramatica kick),0,34
6,4.0,10:16,Buccaneers,Mike Alstott 20 yard rush (Martin Gramatica kick),0,41
