,Quarter,Tm,Detail,SFO,GNB
0,1.0,49ers,Hugh McElhenny 17 yard rush (Gordie Soltau kick),7,0
1,1.0,49ers,Gordie Soltau 37 yard field goal,10,0
2,3.0,Packers,Veryl Switzer 5 yard pass from Tobin Rote (Fred Cone kick),10,7
3,3.0,Packers,Fred Cone 45 yard field goal,10,10
4,3.0,Packers,Max McGee 19 yard pass from Tobin Rote (Fred Cone kick),10,17
5,4.0,49ers,Joe Perry 8 yard rush,16,17
6,4.0,49ers,Y.A. Tittle 2 yard rush (Gordie Soltau kick),23,17
