,Quarter,Tm,Detail,GNB,CHI
0,1.0,Packers,Cully Lidberg 1 yard rush,6,0
1,1.0,Bears,Duke Hanny unknown yard pass from Paddy Driscoll,6,6
2,2.0,Bears,Paddy Driscoll 13 yard field goal,6,9
3,2.0,Packers,Verne Lewellen 40 yard fumble return (Pid Purdy kick),13,9
4,3.0,Bears,Paddy Driscoll 44 yard field goal,13,12
5,4.0,Bears,Paddy Driscoll 24 yard fumble return (Paddy Driscoll kick),13,19
