,Quarter,Tm,Detail,PHO,DET
0,1.0,Lions,Jason Hanson 44 yard field goal,0,3
1,1.0,Lions,Jason Hanson 22 yard field goal,0,6
2,2.0,Cardinals,Ricky Proehl 51 yard pass from Steve Beuerlein (Greg Davis kick),7,6
3,2.0,Lions,Jason Hanson 33 yard field goal,7,9
4,2.0,Lions,Derrick Moore 1 yard rush (Jason Hanson kick),7,16
5,2.0,Cardinals,Walter Reeves 2 yard pass from Steve Beuerlein (Greg Davis kick),14,16
6,2.0,Cardinals,Greg Davis 54 yard field goal,17,16
7,3.0,Lions,Brett Perriman 9 yard pass from Andre Ware (Jason Hanson kick),17,23
8,4.0,Cardinals,Greg Davis 30 yard field goal,20,23
9,4.0,Lions,Jason Hanson 38 yard field goal,20,26
