,Quarter,Tm,Detail,PHI,BKN
0,1,Eagles/Steelers,Bob Thurbon 3 yard rush (Gordon Paschka kick),7,0
1,2,Dodgers,Pug Manders 2 yard rush (Bruiser Kinard kick),7,7
2,3,Dodgers,Merl Condit 65 yard pass from Ken Heineman,7,13
