,Quarter,Tm,Detail,BKN,PIT
0,1,Pirates,Armand Niccolai 21 yard field goal,0,3
1,3,Pirates,Bull Karcis 1 yard rush (Armand Niccolai kick),0,10
2,4,Dodgers,Dick Crayne 2 yard rush (Ralph Kercheval kick),7,10
