,Quarter,Time,Tm,Detail,DEN,SDG
0,2.0,11:48,Broncos,Tatum Bell 6 yard rush (Jason Elam kick),7,0
1,2.0,3:24,Broncos,Tatum Bell 1 yard rush (Jason Elam kick),14,0
2,2.0,0:38,Chargers,LaDainian Tomlinson 6 yard rush (Nate Kaeding kick),14,7
3,3.0,5:30,Broncos,"Safety,",16,7
4,4.0,4:32,Broncos,Tatum Bell 19 yard rush (Jason Elam kick),23,7
