,Quarter,Time,Tm,Detail,CAR,NOR
0,1.0,8:01,Panthers,John Kasay 45 yard field goal,3,0
1,1.0,2:21,Panthers,John Kasay 26 yard field goal,6,0
2,2.0,12:35,Saints,Garrett Hartley 21 yard field goal,6,3
3,2.0,6:56,Panthers,John Kasay 34 yard field goal,9,3
4,2.0,3:09,Panthers,Muhsin Muhammad 8 yard pass from Jake Delhomme (John Kasay kick),16,3
5,2.0,3:03,Panthers,Dante Wesley 12 yard fumble return (John Kasay kick),23,3
6,2.0,0:40,Saints,Marques Colston 26 yard pass from Drew Brees (Garrett Hartley kick),23,10
7,3.0,10:02,Panthers,Jonathan Stewart 2 yard rush (John Kasay kick),30,10
8,4.0,14:48,Saints,Robert Meachem 7 yard pass from Drew Brees (Garrett Hartley kick),30,17
9,4.0,5:33,Saints,Lance Moore 9 yard pass from Drew Brees (Garrett Hartley kick),30,24
10,4.0,3:11,Saints,Lance Moore 13 yard pass from Drew Brees (Garrett Hartley kick),30,31
11,4.0,0:01,Panthers,John Kasay 42 yard field goal,33,31
