,Quarter,Tm,Detail,TAM,IND
0,1.0,Colts,Eric Dickerson 6 yard rush (Dean Biasucci kick),0,7
1,1.0,Buccaneers,Donald Igwebuike 38 yard field goal,3,7
2,2.0,Colts,Dean Biasucci 30 yard field goal,3,10
3,3.0,Colts,Eric Dickerson 34 yard rush (Dean Biasucci kick),3,17
4,4.0,Buccaneers,Donald Igwebuike 39 yard field goal,6,17
5,4.0,Colts,Albert Bentley 2 yard rush (Dean Biasucci kick),6,24
