,Quarter,Tm,Detail,NWE,MIA
0,1.0,Dolphins,Howard Twilley 22 yard pass from Bob Griese (Garo Yepremian kick),0,7
1,1.0,Dolphins,Paul Warfield 32 yard pass from Bob Griese (Garo Yepremian kick),0,14
2,1.0,Dolphins,Howard Twilley 14 yard pass from Bob Griese (Garo Yepremian kick),0,21
3,2.0,Patriots,Charlie Gogolak 51 yard field goal,3,21
4,2.0,Dolphins,Garo Yepremian 34 yard field goal,3,24
5,2.0,Dolphins,Paul Warfield 14 yard pass from Bob Griese (Garo Yepremian kick),3,31
6,3.0,Dolphins,Jim Kiick 1 yard rush (Garo Yepremian kick),3,38
7,4.0,Dolphins,Garo Yepremian 42 yard field goal,3,41
