,Quarter,Tm,Detail,MIN,WAS
0,1.0,Redskins,Charley Taylor 2 yard pass from Sonny Jurgensen (Curt Knight kick),0,7
1,1.0,Vikings,Fred Cox 44 yard field goal,3,7
2,2.0,Vikings,Dave Osborn 1 yard rush (Fred Cox kick),10,7
3,3.0,Vikings,Fred Cox 17 yard field goal,13,7
4,3.0,Redskins,Curt Knight 15 yard field goal,13,10
5,4.0,Vikings,Fred Cox 24 yard field goal,16,10
6,4.0,Vikings,Fred Cox 42 yard field goal,19,10
