,Quarter,Tm,Detail,CLE,CIN
0,1.0,Bengals,Isaac Curtis 27 yard pass from Ken Anderson (Dave Green kick),0,7
1,1.0,Bengals,Boobie Clark 14 yard rush (Dave Green kick),0,14
2,2.0,Browns,Don Cockroft 18 yard field goal,3,14
3,2.0,Bengals,Dave Green 44 yard field goal,3,17
4,3.0,Bengals,Lenvil Elliott 3 yard rush (Dave Green kick),3,24
5,3.0,Browns,Greg Pruitt 8 yard rush (Don Cockroft kick),10,24
6,3.0,Browns,Charlie Hall defensive fumble recovery in end zone (Don Cockroft kick),17,24
