,Quarter,Tm,Detail,OAK,PIT
0,2.0,Raiders,Errol Mann 21 yard field goal,3,0
1,2.0,Raiders,Errol Mann 40 yard field goal,6,0
2,2.0,Raiders,Errol Mann 41 yard field goal,9,0
3,4.0,Raiders,Mark van Eeghen 8 yard rush (Errol Mann kick),16,0
4,4.0,Steelers,Bennie Cunningham 43 yard pass from Terry Bradshaw (Roy Gerela kick),16,7
