,Quarter,Time,Tm,Detail,DET,GNB
0,1.0,7:16,Lions,Matthew Stafford 4 yard rush (Jason Hanson kick),7,0
1,2.0,12:47,Lions,Tony Scheffler 3 yard pass from Matthew Stafford (Jason Hanson kick),14,0
2,2.0,10:52,Packers,Mason Crosby 49 yard field goal,14,3
3,2.0,6:15,Packers,Mike Daniels 43 yard defensive fumble return (Mason Crosby kick),14,10
4,3.0,11:54,Packers,Aaron Rodgers 27 yard rush (Mason Crosby kick),14,17
5,3.0,8:57,Lions,Jason Hanson 46 yard field goal,17,17
6,4.0,10:45,Packers,DuJuan Harris 14 yard rush (Mason Crosby kick),17,24
7,4.0,4:02,Packers,Mason Crosby 41 yard field goal,17,27
8,4.0,0:07,Lions,Jason Hanson 34 yard field goal,20,27
