,Quarter,Tm,Detail,CLE,SFO
0,1.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),7,0
1,2.0,49ers,Gordie Soltau 17 yard field goal,7,3
2,2.0,Browns,Ed Modzelewski 1 yard rush (Lou Groza kick),14,3
3,2.0,Browns,Lou Groza 32 yard field goal,17,3
4,2.0,Browns,Fred Morrison 1 yard rush (Lou Groza kick),24,3
5,3.0,Browns,Ed Modzelewski 1 yard rush (Lou Groza kick),31,3
6,4.0,Browns,Maurice Bassett 5 yard rush (Lou Groza kick),38,3
