,Quarter,Time,Tm,Detail,TEN,TAM
0,1.0,,Buccaneers,Michael Husted 46 yard field goal,0,3
1,1.0,,Oilers,Al Del Greco 45 yard field goal,3,3
2,2.0,,Buccaneers,Michael Husted 30 yard field goal,3,6
3,2.0,,Buccaneers,Bert Emanuel 58 yard pass from Trent Dilfer (Michael Husted kick),3,13
4,2.0,0:02,Buccaneers,Michael Husted 24 yard field goal,3,16
5,3.0,0:02,Oilers,Eddie George 14 yard rush (Al Del Greco kick),10,16
6,3.0,0:02,Oilers,Mike Archie 7 yard rush (Al Del Greco kick),17,16
7,4.0,11:06,Oilers,Joe Bowden 1 yard interception return (Al Del Greco kick),24,16
8,4.0,11:06,Buccaneers,Reidel Anthony 10 yard pass from Trent Dilfer (pass failed),24,22
9,4.0,2:00,Oilers,Steve McNair 71 yard rush (Al Del Greco kick),31,22
