,Quarter,Tm,Detail,DEN,PIT
0,1.0,Steelers,Rodney Carter 64 yard rush (Gary Anderson kick),0,7
1,1.0,Steelers,Todd Blackledge 1 yard rush (Gary Anderson kick),0,14
2,2.0,Steelers,Gary Anderson 30 yard field goal,0,17
3,2.0,Steelers,Rodney Carter 10 yard pass from Todd Blackledge (Gary Anderson kick),0,24
4,2.0,Steelers,Gary Anderson 32 yard field goal,0,27
5,3.0,Broncos,Clarence Kay 17 yard pass from Gary Kubiak (Rich Karlis kick),7,27
6,3.0,Steelers,Gary Anderson 21 yard field goal,7,30
7,4.0,Steelers,Gary Anderson 37 yard field goal,7,33
8,4.0,Steelers,Gary Anderson 22 yard field goal,7,36
9,4.0,Broncos,Clarence Kay 14 yard pass from Gary Kubiak (Rich Karlis kick),14,36
10,4.0,Broncos,Ricky Nattiel 74 yard pass from Ken Karcher (Rich Karlis kick),21,36
11,4.0,Steelers,Gary Anderson 30 yard field goal,21,39
