,Quarter,Time,Tm,Detail,NYJ,DAL
0,1.0,10:49,Cowboys,Dan Bailey 27 yard field goal,0,3
1,1.0,0:30,Jets,Bilal Powell 12 yard rush (Randy Bullock kick failed),6,3
2,2.0,7:01,Jets,Randy Bullock 36 yard field goal,9,3
3,2.0,1:17,Cowboys,Dez Bryant 10 yard pass from Kellen Moore (Dan Bailey kick),9,10
4,3.0,3:44,Cowboys,Dan Bailey 38 yard field goal,9,13
5,4.0,8:58,Jets,Eric Decker 3 yard pass from Ryan Fitzpatrick (Randy Bullock kick),16,13
6,4.0,1:55,Cowboys,Dan Bailey 50 yard field goal,16,16
7,4.0,0:36,Jets,Randy Bullock 40 yard field goal,19,16
