,Quarter,Tm,Detail,NOR,NYG
0,1.0,Saints,Tom Dempsey 23 yard field goal,3,0
1,1.0,Giants,Pete Gogolak 19 yard field goal,3,3
2,2.0,Giants,Joe Morrison 1 yard rush (Pete Gogolak kick),3,10
3,2.0,Saints,Andy Livingston 51 yard pass from Billy Kilmer (Tom Dempsey kick),10,10
4,2.0,Saints,Steve Preece 17 yard blocked punt return,16,10
5,2.0,Giants,Joe Morrison 50 yard pass from Fran Tarkenton (Pete Gogolak kick),16,17
6,2.0,Saints,Tom Dempsey 43 yard field goal,19,17
7,3.0,Saints,Tom Dempsey 13 yard field goal,22,17
8,4.0,Giants,Tucker Frederickson 6 yard pass from Fran Tarkenton (Pete Gogolak kick),22,24
9,4.0,Saints,Tom Dempsey 19 yard field goal,25,24
