,Quarter,Time,Tm,Detail,PIT,CLE
0,1,11:13,Browns,Baker Mayfield 1 yard rush (Austin Seibert kick),0,7
1,2,9:59,Browns,Jarvis Landry 1 yard pass from Baker Mayfield (Austin Seibert kick),0,14
2,3,5:45,Steelers,Jaylen Samuels 3 yard pass from Mason Rudolph (Chris Boswell kick),7,14
3,4,5:33,Browns,Stephen Carlson 8 yard pass from Baker Mayfield (Austin Seibert kick),7,21
