,Quarter,Tm,Detail,PRV,NYG
0,1,Giants,Tony Plansky 1 yard rush (Benny Friedman kick),0,7
1,3,Giants,Tony Plansky 1 yard rush,0,13
2,4,Giants,Len Sedbrook 11 yard rush,0,19
