,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Dolphins,Larry Csonka 16 yard rush (Garo Yepremian kick),0,7
1,1.0,Dolphins,Garo Yepremian 43 yard field goal,0,10
2,4.0,Jets,George Nock 1 yard rush (Bobby Howfield kick),7,10
3,4.0,Jets,George Nock 2 yard rush (Bobby Howfield kick),14,10
