,Quarter,Tm,Detail,DET,NYG
0,2,Lions,Regis Monahan 20 yard field goal,3,0
1,3,Lions,Butch Morse 8 yard pass from Dutch Clark (Regis Monahan kick),10,0
2,4,Lions,Harry Ebding 28 yard pass from Vern Huffman (Bill Shepherd kick),17,0
