,Quarter,Tm,Detail,NOR,ATL
0,1.0,Falcons,Ken Vinyard 16 yard field goal,0,3
1,2.0,Falcons,Harmon Wages 1 yard rush,0,9
2,3.0,Saints,Danny Abramowicz 30 yard pass from Edd Hargett (Tom Dempsey kick),7,9
3,3.0,Falcons,Ken Vinyard 49 yard field goal,7,12
4,3.0,Falcons,Tom McCauley 77 yard punt return (Ken Vinyard kick),7,19
5,4.0,Falcons,Todd Snyder 20 yard pass from Bob Berry,7,25
6,4.0,Saints,Ken Burrough 10 yard pass from Billy Kilmer (Tom Dempsey kick),14,25
7,4.0,Falcons,Randy Marshall defensive fumble recovery in end zone (Ken Vinyard kick),14,32
