,Quarter,Tm,Detail,DET,MIN
0,1.0,Lions,Barry Sanders 17 yard rush (Eddie Murray kick),7,0
1,2.0,Vikings,Anthony Carter 25 yard pass from Darrin Nelson (Fuad Reveiz kick),7,7
2,2.0,Lions,Eddie Murray 37 yard field goal,10,7
3,3.0,Lions,Barry Sanders 45 yard rush (Eddie Murray kick),17,7
4,3.0,Lions,Barry Sanders 4 yard rush (Eddie Murray kick),24,7
5,4.0,Vikings,Herschel Walker 1 yard rush (Fuad Reveiz kick),24,14
6,4.0,Lions,Barry Sanders 9 yard rush (Eddie Murray kick),31,14
7,4.0,Lions,Eddie Murray 50 yard field goal,34,14
