,Quarter,Time,Tm,Detail,STL,NYG
0,1.0,10:33,Rams,Roland Williams 1 yard pass from Trent Green (Jeff Wilkins kick),7,0
1,1.0,1:55,Rams,Torry Holt 5 yard pass from Trent Green (Jeff Hall kick),14,0
2,2.0,12:42,Giants,Tiki Barber 13 yard pass from Kerry Collins (Brad Daluiso kick),14,7
3,2.0,5:43,Rams,Ricky Proehl 8 yard pass from Trent Green (Jeff Hall kick),21,7
4,2.0,2:41,Rams,Trent Green 18 yard rush (Jeff Hall kick),28,7
5,3.0,13:58,Giants,Ike Hilliard 46 yard pass from Kerry Collins (Brad Daluiso kick),28,14
6,3.0,11:34,Giants,Brad Daluiso 20 yard field goal,28,17
7,3.0,7:20,Rams,Jeff Hall 50 yard field goal,31,17
8,3.0,2:24,Rams,Isaac Bruce 34 yard pass from Trent Green (Jeff Hall kick),38,17
9,4.0,8:26,Giants,Ike Hilliard 34 yard pass from Kerry Collins (Brad Daluiso kick),38,24
