,Quarter,Tm,Detail,BUF,SEA
0,1.0,Seahawks,Norm Johnson 29 yard field goal,0,3
1,1.0,Seahawks,Curt Warner 1 yard rush (Steve Largent run),0,10
2,2.0,Bills,Andre Reed 61 yard pass from Jim Kelly (Scott Norwood kick),7,10
3,2.0,Bills,Scott Norwood 32 yard field goal,10,10
4,3.0,Bills,Scott Norwood 40 yard field goal,13,10
5,3.0,Bills,Scott Norwood 43 yard field goal,16,10
6,4.0,Seahawks,John Williams 51 yard pass from Dave Krieg (Norm Johnson kick),16,17
