,Quarter,Time,Tm,Detail,TAM,TEN
0,1.0,11:33,Buccaneers,Matt Gay 22 yard field goal,3,0
1,1.0,8:58,Titans,Jonnu Smith 5 yard pass from Ryan Tannehill (Cody Parkey kick),3,7
2,1.0,0:29,Titans,Tajae Sharpe 6 yard pass from Ryan Tannehill (Cody Parkey kick),3,14
3,2.0,7:56,Buccaneers,Matt Gay 48 yard field goal,6,14
4,2.0,3:50,Buccaneers,Matt Gay 24 yard field goal,9,14
5,2.0,1:15,Titans,Cody Parkey 51 yard field goal,9,17
6,2.0,0:21,Buccaneers,Mike Evans 9 yard pass from Jameis Winston (pass failed),15,17
7,3.0,11:16,Buccaneers,Mike Evans 2 yard pass from Jameis Winston (Chris Godwin pass from Jameis Winston),23,17
8,3.0,0:42,Titans,Cody Parkey 42 yard field goal,23,20
9,4.0,7:00,Titans,A.J. Brown 8 yard pass from Ryan Tannehill (Cody Parkey kick),23,27
