,Quarter,Tm,Detail,WAS,CRD
0,1.0,Redskins,Sam Baker 12 yard field goal,3,0
1,1.0,Redskins,Sam Baker 32 yard field goal,6,0
2,1.0,Cardinals,Gern Nagler 83 yard pass from Lamar McHan (Pat Summerall kick),6,7
3,2.0,Redskins,John Carson 19 yard pass from Eddie LeBaron (Sam Baker kick),13,7
4,2.0,Cardinals,Gern Nagler 36 yard pass from Lamar McHan (Pat Summerall kick),13,14
5,3.0,Redskins,Ed Sutton 18 yard rush (Sam Baker kick),20,14
6,3.0,Redskins,Ed Sutton 5 yard rush (Sam Baker kick),27,14
7,4.0,Redskins,Don Bosseler 1 yard rush (Sam Baker kick),34,14
8,4.0,Redskins,Sam Baker 16 yard field goal,37,14
