,Quarter,Tm,Detail,GNB,CRD
0,1.0,Cardinals,Mal Kutner 20 yard pass from Paul Christman (Pat Harder kick),0,7
1,1.0,Packers,Ted Fritsch 35 yard field goal,3,7
2,2.0,Packers,Ted Fritsch 1 yard rush (Ward Cuff kick),10,7
3,2.0,Packers,Ted Fritsch 45 yard field goal,13,7
4,3.0,Packers,Bob Forte 22 yard pass from Jack Jacobs (Ward Cuff kick),20,7
5,4.0,Cardinals,Pat Harder 4 yard rush (Pat Harder kick),20,14
6,4.0,Cardinals,Mal Kutner 23 yard pass from Paul Christman (Pat Harder kick),20,21
