,Quarter,Time,Tm,Detail,GNB,CAR
0,1.0,,Panthers,John Kasay 42 yard field goal,0,3
1,1.0,,Panthers,Rocket Ismail 5 yard pass from Kerry Collins (John Kasay kick),0,10
2,1.0,,Packers,Mark Chmura 25 yard pass from Brett Favre,6,10
3,2.0,,Packers,Derrick Mayes 21 yard pass from Brett Favre (Ryan Longwell kick),13,10
4,2.0,,Panthers,Eric Davis 16 yard interception return (John Kasay kick),13,17
5,2.0,,Panthers,John Kasay 42 yard field goal,13,20
6,2.0,1:13,Packers,Tyrone Davis 20 yard pass from Brett Favre (Ryan Longwell kick),20,20
7,3.0,1:13,Packers,Derrick Mayes 4 yard pass from Brett Favre (Ryan Longwell kick),27,20
8,3.0,1:13,Packers,Ryan Longwell 41 yard field goal,30,20
9,4.0,1:13,Panthers,John Kasay 56 yard field goal,30,23
10,4.0,1:13,Packers,Derrick Mayes 33 yard pass from Brett Favre (Ryan Longwell kick),37,23
11,4.0,1:13,Panthers,Muhsin Muhammad 15 yard pass from Kerry Collins (John Kasay kick),37,30
