,Quarter,Tm,Detail,SFO,NOR
0,1.0,Saints,Eric Martin 11 yard pass from Bobby Hebert (Morten Andersen kick),0,7
1,1.0,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),7,7
2,2.0,49ers,Mike Cofer 40 yard field goal,10,7
3,2.0,Saints,Morten Andersen 42 yard field goal,10,10
4,4.0,49ers,Mike Cofer 26 yard field goal,13,10
5,4.0,49ers,Mike Cofer 42 yard field goal,16,10
