,Quarter,Tm,Detail,CLE,PIT
0,1.0,Browns,Jim Brown 23 yard rush (Lou Groza kick),7,0
1,2.0,Browns,Bobby Mitchell 21 yard pass from Milt Plum (Lou Groza kick),14,0
2,2.0,Browns,Pete Brewster 8 yard pass from Milt Plum (Lou Groza kick),21,0
3,2.0,Steelers,Tom Tracy 1 yard rush (Tom Miner kick),21,7
4,2.0,Steelers,Tom Miner 31 yard field goal,21,10
5,2.0,Browns,Lou Groza 32 yard field goal,24,10
6,3.0,Browns,Jim Brown 59 yard rush (Lou Groza kick),31,10
7,3.0,Browns,Jim Brown 3 yard rush (Lou Groza kick),38,10
8,4.0,Browns,Preston Carpenter 4 yard pass from Jim Ninowski (Lou Groza kick),45,10
9,4.0,Steelers,"Safety, Ninowski tackled by Stautner in end zone",45,12
