,Quarter,Tm,Detail,TAM,MIN
0,1.0,Buccaneers,Bill Capece 51 yard field goal,3,0
1,2.0,Vikings,Rickey Young 3 yard rush (Rick Danmeier kick),3,7
2,3.0,Vikings,Sammy White 22 yard pass from Tommy Kramer (Rick Danmeier kick),3,14
3,4.0,Buccaneers,Jimmie Giles 20 yard pass from Doug Williams (Bill Capece kick),10,14
4,4.0,Vikings,Rick Danmeier 33 yard field goal,10,17
