,Quarter,Tm,Detail,DAY,PRV
0,1,Steam Roller,Wildcat Wilson unknown yard rush (Gus Sonnenberg kick),0,7
1,2,Steam Roller,Jimmy Conzelman unknown yard pass from Wildcat Wilson (Jimmy Conzelman pass from Wildcat Wilson),0,14
2,3,Steam Roller,Wildcat Wilson 2 yard rush (Curly Oden kick),0,21
3,4,Steam Roller,Jimmy Conzelman 30 yard pass from Gus Sonnenberg (Gus Sonnenberg run),0,28
