,Quarter,Tm,Detail,CLE,PHI
0,2.0,Eagles,Bobby Walston 12 yard field goal,0,3
1,2.0,Eagles,Rocky Ryan 46 yard pass from Sonny Jurgensen (Bobby Walston kick),0,10
2,4.0,Eagles,Sonny Jurgensen 1 yard rush (Bobby Walston kick),0,17
3,4.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),7,17
