,Quarter,Tm,Detail,MIN,CHI
0,3.0,Bears,Ronnie Bull 23 yard rush (Roger LeClerc kick),0,7
1,3.0,Vikings,Fred Cox 33 yard field goal,3,7
2,4.0,Bears,Gale Sayers 2 yard rush (Roger LeClerc kick),3,14
3,4.0,Vikings,Tom Hall 17 yard pass from Fran Tarkenton (Fred Cox kick),10,14
4,4.0,Bears,Roger LeClerc 20 yard field goal,10,17
5,4.0,Vikings,Gordie Smith 22 yard pass from Fran Tarkenton (Fred Cox kick),17,17
6,4.0,Vikings,Rip Hawkins 35 yard interception return (Fred Cox kick),24,17
