,Quarter,Tm,Detail,PHO,WAS
0,1.0,Redskins,Chip Lohmiller 22 yard field goal,0,3
1,1.0,Redskins,Earnest Byner 2 yard pass from Mark Rypien (Chip Lohmiller kick),0,10
2,2.0,Redskins,Chip Lohmiller 32 yard field goal,0,13
3,2.0,Cardinals,J.T. Smith 7 yard pass from Gary Hogeboom (Al Del Greco kick),7,13
4,2.0,Cardinals,J.T. Smith 20 yard pass from Gary Hogeboom (Al Del Greco kick),14,13
5,3.0,Cardinals,Earl Ferrell 44 yard rush (Al Del Greco kick),21,13
6,4.0,Redskins,Chip Lohmiller 37 yard field goal,21,16
7,4.0,Redskins,Art Monk 12 yard pass from Mark Rypien (Chip Lohmiller kick),21,23
8,4.0,Redskins,Gary Clark 23 yard pass from Mark Rypien (Chip Lohmiller kick),21,30
9,4.0,Cardinals,J.T. Smith 17 yard pass from Gary Hogeboom (Al Del Greco kick),28,30
