,Quarter,Time,Tm,Detail,CAR,GNB
0,1.0,11:51,Packers,Jordy Nelson 59 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
1,1.0,5:53,Packers,Eddie Lacy 5 yard rush (Mason Crosby kick),0,14
2,1.0,2:07,Packers,James Starks 13 yard rush (Mason Crosby kick),0,21
3,2.0,4:07,Packers,Randall Cobb 3 yard pass from Aaron Rodgers (Mason Crosby kick),0,28
4,2.0,0:00,Panthers,Graham Gano 33 yard field goal,3,28
5,3.0,10:20,Packers,Davante Adams 21 yard pass from Aaron Rodgers (Mason Crosby kick),3,35
6,3.0,0:08,Packers,Mason Crosby 34 yard field goal,3,38
7,4.0,9:39,Panthers,Kelvin Benjamin 13 yard pass from Cam Newton (Graham Gano kick),10,38
8,4.0,1:24,Panthers,Brenton Bersin 1 yard pass from Derek Anderson (Graham Gano kick),17,38
