,Quarter,Time,Tm,Detail,SEA,SFO
0,2.0,12:55,Seahawks,Josh Brown 23 yard field goal,3,0
1,2.0,6:10,Seahawks,Bobby Engram 17 yard pass from Matt Hasselbeck (Josh Brown kick),10,0
2,2.0,0:57,Seahawks,Josh Brown 31 yard field goal,13,0
3,3.0,12:11,Seahawks,Marcus Pollard 14 yard pass from Matt Hasselbeck (Josh Brown kick),20,0
4,3.0,4:36,49ers,Joe Nedney 43 yard field goal,20,3
5,4.0,14:49,Seahawks,Josh Brown 25 yard field goal,23,3
