,Quarter,Time,Tm,Detail,MIN,CIN
0,1.0,14:08,Bengals,Chad Johnson 70 yard pass from Carson Palmer (Shayne Graham kick),0,7
1,1.0,7:19,Bengals,T.J. Houshmandzadeh 12 yard pass from Carson Palmer (Shayne Graham kick),0,14
2,2.0,5:02,Bengals,Shayne Graham 40 yard field goal,0,17
3,2.0,3:19,Bengals,Shayne Graham 29 yard field goal,0,20
4,2.0,0:12,Bengals,Matt Schobel 8 yard pass from Carson Palmer (Shayne Graham kick),0,27
5,3.0,2:06,Bengals,T.J. Houshmandzadeh 16 yard rush (Shayne Graham kick),0,34
6,4.0,5:41,Bengals,Shayne Graham 30 yard field goal,0,37
7,4.0,3:17,Vikings,Daunte Culpepper 5 yard rush (Marcus Robinson pass from Daunte Culpepper),8,37
