,Quarter,Tm,Detail,RAM,NYJ
0,2.0,Rams,Kevin House 60 yard pass from Jim Everett (Mike Lansford kick),7,0
1,2.0,Rams,Mike Lansford 38 yard field goal,10,0
2,4.0,Rams,Eric Dickerson 4 yard rush (Mike Lansford kick),17,0
3,4.0,Jets,Pat Leahy 25 yard field goal,17,3
