,Quarter,Time,Tm,Detail,ATL,NOR
0,1,11:42,Saints,Jeremy Shockey 2 yard pass from Drew Brees (Garrett Hartley kick),0,7
1,1,6:53,Falcons,Tony Gonzalez 13 yard pass from Matt Ryan (Matt Bryant kick),7,7
2,1,3:31,Saints,Lance Moore 80 yard pass from Drew Brees (Garrett Hartley kick),7,14
3,2,1:03,Falcons,Michael Turner 1 yard rush (Matt Bryant kick),14,14
4,3,3:43,Falcons,Matt Bryant 23 yard field goal,17,14
5,3,0:04,Saints,Lance Moore 16 yard pass from Drew Brees (Garrett Hartley kick),17,21
6,4,9:20,Falcons,Roddy White 22 yard pass from Matt Ryan (Matt Bryant kick),24,21
7,4,0:04,Saints,Garrett Hartley 32 yard field goal,24,24
8,OT,1:55,Falcons,Matt Bryant 46 yard field goal,27,24
