,Quarter,Time,Tm,Detail,NWE,DEN
0,1.0,,Broncos,Jason Elam 53 yard field goal,0,3
1,1.0,,Broncos,Shannon Sharpe 12 yard pass from John Elway (Jason Elam kick),0,10
2,2.0,,Broncos,Terrell Davis 9 yard rush (Jason Elam kick),0,17
3,2.0,,Patriots,Robert Edwards 1 yard rush (Adam Vinatieri kick),7,17
4,3.0,,Patriots,Troy Brown 24 yard pass from Drew Bledsoe (Adam Vinatieri kick),14,17
5,3.0,,Broncos,Jason Elam 42 yard field goal,14,20
6,4.0,,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),14,27
7,4.0,,Patriots,Vincent Brisby 10 yard pass from Drew Bledsoe (Adam Vinatieri kick),21,27
