,Quarter,Time,Tm,Detail,DEN,KAN
0,1.0,7:29,Chiefs,Todd Peterson 40 yard field goal,0,3
1,2.0,11:26,Broncos,Jason Suttle fumble recovery in end zone (Jason Elam kick),7,3
2,3.0,9:23,Chiefs,Frank Moreau 2 yard rush (Todd Peterson kick),7,10
3,4.0,7:14,Chiefs,Tony Richardson 28 yard rush (Todd Peterson kick),7,17
4,4.0,0:33,Chiefs,Todd Peterson 27 yard field goal,7,20
