,Quarter,Time,Tm,Detail,NYJ,OAK
0,1.0,12:36,Raiders,Darren McFadden 2 yard rush (Sebastian Janikowski kick),0,7
1,1.0,6:37,Jets,Mark Sanchez 1 yard rush (Nick Folk kick),7,7
2,2.0,13:24,Jets,LaDainian Tomlinson 18 yard pass from Mark Sanchez (Nick Folk kick),14,7
3,2.0,5:03,Jets,Nick Folk 21 yard field goal,17,7
4,2.0,3:40,Raiders,Darren McFadden 70 yard rush (Sebastian Janikowski kick),17,14
5,2.0,0:00,Raiders,Sebastian Janikowski 54 yard field goal,17,17
6,3.0,0:40,Raiders,Denarius Moore 23 yard rush (Sebastian Janikowski kick),17,24
7,4.0,14:58,Raiders,Michael Bush 1 yard rush (Sebastian Janikowski kick),17,31
8,4.0,5:33,Jets,Plaxico Burress 16 yard pass from Mark Sanchez (Nick Folk kick),24,31
9,4.0,2:37,Raiders,Sebastian Janikowski 49 yard field goal,24,34
