,Quarter,Tm,Detail,RAM,MIA
0,1.0,Dolphins,Ferrell Edmunds 1 yard pass from Dan Marino (Pete Stoyanovich kick),0,7
1,1.0,Dolphins,Mark Duper 38 yard pass from Dan Marino (Pete Stoyanovich kick),0,14
2,1.0,Dolphins,Pete Stoyanovich 36 yard field goal,0,17
3,3.0,Rams,Flipper Anderson 23 yard pass from Jim Everett (Tony Zendejas kick),7,17
4,3.0,Dolphins,Pete Stoyanovich 44 yard field goal,7,20
5,4.0,Rams,Tony Zendejas 31 yard field goal,10,20
6,4.0,Dolphins,Pete Stoyanovich 27 yard field goal,10,23
7,4.0,Dolphins,Pete Stoyanovich 20 yard field goal,10,26
