,Quarter,Tm,Detail,TAM,KAN
0,1.0,Chiefs,Jan Stenerud 25 yard field goal,0,3
1,2.0,Buccaneers,Neil O'Donoghue 22 yard field goal,3,3
2,2.0,Buccaneers,Morris Owens 10 yard pass from Doug Williams (Neil O'Donoghue kick),10,3
3,4.0,Chiefs,Jan Stenerud 30 yard field goal,10,6
4,4.0,Buccaneers,Jimmy DuBose 1 yard rush,16,6
5,4.0,Buccaneers,Louis Carter 3 yard rush (Neil O'Donoghue kick),23,6
6,4.0,Chiefs,Henry Marshall 26 yard pass from Tony Adams (Jan Stenerud kick),23,13
7,4.0,Buccaneers,Jimmy DuBose 1 yard rush (Neil O'Donoghue kick),30,13
