,Quarter,Tm,Detail,GNB,BAL
0,2.0,Packers,Don Chandler 49 yard field goal,3,0
1,4.0,Packers,Donny Anderson 31 yard pass from Bart Starr (Don Chandler kick),10,0
2,4.0,Colts,Alex Hawkins 10 yard pass from Johnny Unitas,10,6
3,4.0,Colts,Willie Richardson 23 yard pass from Johnny Unitas (Lou Michaels kick),10,13
