,Quarter,Tm,Detail,CIN,MIN
0,1.0,Vikings,Chuck Foreman 1 yard rush (Fred Cox kick),0,7
1,2.0,Vikings,Chuck Foreman 6 yard pass from Fran Tarkenton (Fred Cox kick),0,14
2,2.0,Bengals,Billy Brooks 94 yard pass from Ken Anderson (Chris Bahr kick),7,14
3,2.0,Bengals,Chris Bahr 23 yard field goal,10,14
4,3.0,Vikings,Chuck Foreman 1 yard rush (Fred Cox kick),10,21
5,4.0,Vikings,Brent McClanahan 6 yard pass from Tommy Kramer (Fred Cox kick),10,28
6,4.0,Vikings,Brent McClanahan 5 yard rush (Fred Cox kick),10,35
7,4.0,Vikings,Sammy Johnson 1 yard rush (Fred Cox kick),10,42
