,Quarter,Tm,Detail,CLE,CRD
0,1.0,Bulldogs,Carl Bacchus 65 yard pass from Benny Friedman,6,0
1,2.0,Bulldogs,Rex Thomas 3 yard rush,12,0
2,2.0,Cardinals,Ted Bucklin 1 yard rush (Evar Swanson kick),12,7
3,3.0,Bulldogs,Frank Kelley unknown yard pass from Benny Friedman (Benny Friedman kick),19,7
4,3.0,Bulldogs,Ossie Wiberg unknown yard rush,25,7
5,3.0,Bulldogs,Proc Randels unknown yard pass from Benny Friedman (Al Bloodgood kick),32,7
