,Quarter,Tm,Detail,SEA,CHI
0,1.0,Seahawks,Sherman Smith 1 yard rush (Efren Herrera kick),7,0
1,2.0,Bears,Bob Thomas 33 yard field goal,7,3
2,2.0,Seahawks,Steve Largent 26 yard pass from Jim Zorn (Efren Herrera kick),14,3
3,2.0,Bears,Bob Thomas 36 yard field goal,14,6
4,3.0,Bears,Bob Thomas 39 yard field goal,14,9
5,3.0,Seahawks,Steve Largent 31 yard pass from Jim Zorn (Efren Herrera kick),21,9
6,3.0,Bears,Roland Harper 20 yard pass from Mike Phipps (Bob Thomas kick),21,16
7,3.0,Seahawks,Sherman Smith 6 yard rush (Efren Herrera kick),28,16
8,4.0,Bears,Walter Payton 7 yard rush,28,22
9,4.0,Seahawks,Efren Herrera 34 yard field goal,31,22
10,4.0,Bears,Roland Harper 2 yard rush (Bob Thomas kick),31,29
