,Quarter,Tm,Detail,PRT,NYG
0,2.0,Giants,Doug Wycoff 2 yard rush (Hap Moran kick),0,7
1,2.0,Giants,Dutch Kitzmiller 4 yard rush (Hap Moran kick),0,14
