,Quarter,Tm,Detail,MIA,BUF
0,1.0,Dolphins,Larry Csonka 4 yard rush (Garo Yepremian kick),7,0
1,1.0,Dolphins,Garo Yepremian 46 yard field goal,10,0
2,2.0,Dolphins,Garo Yepremian 42 yard field goal,13,0
3,2.0,Bills,Marlin Briscoe 18 yard pass from Dennis Shaw (Grant Guthrie kick),13,7
4,3.0,Dolphins,Larry Csonka 5 yard rush (Garo Yepremian kick),20,7
5,3.0,Bills,Marlin Briscoe 16 yard pass from Dennis Shaw (Grant Guthrie kick),20,14
6,4.0,Dolphins,Paul Warfield 43 yard pass from Bob Griese (Garo Yepremian kick),27,14
7,4.0,Dolphins,Garo Yepremian 47 yard field goal,30,14
8,4.0,Dolphins,Garo Yepremian 30 yard field goal,33,14
