,Quarter,Time,Tm,Detail,TAM,MIN
0,1.0,,Vikings,Amp Lee 66 yard rush (Fuad Reveiz kick),0,7
1,1.0,,Vikings,Cris Carter 27 yard pass from Warren Moon (Fuad Reveiz kick),0,14
2,2.0,,Buccaneers,Jerry Ellison 1 yard rush (Michael Husted kick),7,14
3,2.0,,Vikings,Cris Carter 60 yard pass from Warren Moon (Fuad Reveiz kick),7,21
4,2.0,,Vikings,Scottie Graham 23 yard rush (Fuad Reveiz kick),7,28
5,3.0,,Buccaneers,Michael Husted 47 yard field goal,10,28
6,4.0,,Vikings,Fuad Reveiz 42 yard field goal,10,31
7,4.0,,Buccaneers,Alvin Harper 38 yard pass from Casey Weldon (Michael Husted kick),17,31
